city,latitude,temperature,humidity,wind speed,cloudiness
geraldton,-28.77,302.55,27,7.7,100
mandiana,10.63,299.4,65,4.37,100
fort nelson,58.81,270.15,49,2.6,75
namatanai,-3.67,302.21,68,2.45,42
aguilas,37.41,283.31,72,0.89,86
mirandela,41.49,279.26,88,1.29,0
bethel,41.37,278.56,75,3.6,90
poya,-21.35,299.31,76,11.15,0
narsaq,60.92,275.15,34,7.2,100
sao filipe,14.9,292.21,79,8.05,47
kapit,2.02,302.01,84,0.35,84
cockburn town,21.46,297.81,77,9.29,4
trujillo,-8.12,296.21,70,1.59,11
hirara,24.8,297.15,83,8.2,75
mataura,-46.19,286.71,91,3.49,100
sibu,2.3,303.98,66,1.5,40
sambava,-14.27,301.4,75,0.65,7
bonavista,48.65,268.21,74,6.45,10
berezovyy,51.67,273.4,65,2.62,100
barguzin,53.62,271.01,92,4.44,100
ust-maya,60.42,262.51,77,0.57,0
tiksi,71.69,256.9,67,9.38,100
mehamn,71.04,266.31,92,1.53,100
port alfred,-33.59,291.48,88,2.64,4
chupa,66.27,269.9,92,3.6,44
weligama,5.97,306.21,50,4.46,19
san-pedro,4.75,301.4,81,7.22,76
qaanaaq,77.48,245.31,55,2.61,0
thompson,55.74,251.15,57,3.1,20
ahipara,-35.17,292.11,69,5.86,80
abu road,24.48,306.61,9,3.46,0
fare,-16.7,302.21,67,1.9,98
manzhouli,49.6,271.9,73,3.35,39
lasa,46.62,275.36,100,1,0
nanortalik,60.14,272.11,95,19.66,100
hofn,64.25,273.31,77,8.21,100
elizabeth city,36.29,284.14,81,3.1,75
upernavik,72.79,252.41,58,2.61,0
cape town,-33.93,289.43,87,4.6,16
marystown,47.17,270.71,62,7.66,0
nome,64.5,272.37,92,8.7,90
bambous virieux,-20.34,299.66,83,1.5,20
avarua,-21.21,301.15,88,6.2,100
kokopo,-4.35,302.21,72,4.13,28
umm lajj,25.02,292.01,29,3.07,0
zarubino,42.63,276.61,96,10.11,100
san patricio,19.22,297.01,79,3.98,66
kamaishi,39.27,290.15,42,4.6,20
cabo san lucas,22.89,293.28,73,3.1,20
mar del plata,-38,290.35,93,1.5,90
tasiilaq,65.61,263.15,56,2.77,93
eureka,40.8,279.33,87,1.74,1
rio gallegos,-51.62,279.15,75,5.7,20
puerto ayacucho,5.66,298.51,77,1.17,92
kodiak,57.79,280.15,39,4.6,1
axim,4.87,299.01,90,2.36,75
tromso,69.65,268.15,85,10.3,90
lokosovo,61.13,272.31,91,5.65,100
lagoa,39.05,286.01,61,6.51,85
yar-sale,66.83,260.51,92,2.61,85
faanui,-16.48,302.01,64,0.82,100
bengkulu,-3.8,301.61,70,3.03,91
kapaa,22.08,292.94,94,5.7,90
beni mazar,28.5,285.9,60,3.38,0
neuquen,-38.95,290.15,63,2.1,0
saldanha,-33.01,290.31,86,2.76,0
sinnamary,5.38,300.11,76,6.85,94
kilindoni,-7.91,300.01,81,3.01,100
kedrovyy,56.17,272.15,68,7,75
pontianak,-0.03,302.15,79,0.82,75
ust-tsilma,65.44,272.71,93,2.82,100
kita,13.03,295.81,17,1.1,0
hermanus,-34.42,288.15,90,1.34,25
hilo,19.73,294.29,73,1.5,90
tautira,-17.73,302.15,70,3.1,75
honiara,-9.43,304.15,74,1.5,75
mackenzie,55.3,272.15,50,1,1
barkhan,29.9,295.31,22,5.62,1
arlit,18.74,296.01,7,3.04,0
ust-koksa,50.27,269.61,57,2.77,49
san francisco,37.77,282.22,76,4.1,90
saint andrews,34.05,291.79,82,4.1,90
liverpool,53.41,277.21,87,2.1,97
san carlos,9.66,294.11,73,1.64,17
saint-denis,48.92,280.73,87,2.1,100
makungu,-8.73,288.9,98,1.29,100
carnarvon,-24.87,302.15,51,8.7,40
ostersund,63.18,273.44,80,10.8,22
ostrovnoy,68.05,269.11,87,4.58,100
vallenar,-28.57,284.81,87,0.33,0
san carlos de bariloche,-41.15,285.15,62,4.1,0
yulara,-25.24,311.15,16,4.6,0
isiro,2.77,296.4,72,1.21,100
aasiaat,68.71,261.4,71,8.23,100
kahului,20.89,296.55,65,5.1,75
udachnyy,66.42,261.15,78,5,75
mogadishu,2.04,301.15,74,2.1,40
aklavik,68.22,267.15,92,2.1,90
pitimbu,-7.47,299.15,88,1,75
tual,-5.67,301.9,71,0.38,63
lewiston,44.1,274.59,80,1.94,1
vestmannaeyjar,63.44,271.61,68,7.44,10
dukat,62.55,249.71,92,2.84,100
tumbagaan,5.37,300.81,70,0.53,37
arras,50.29,279.39,87,1.5,3
qena,26.16,287.11,51,3.64,0
tuatapere,-46.13,284.9,96,0.45,97
port keats,-14.25,307.81,46,2.78,21
castro,-24.79,290.61,98,0.65,100
barre,44.2,274.42,79,1.58,1
inirida,3.87,296.71,96,1.24,89
lucapon,15.7,300.71,68,3.35,27
lavrentiya,65.58,273.9,98,8.48,100
santa isabel do rio negro,-0.41,295.71,99,0.49,100
caravelas,-17.71,299.81,80,3.88,0
taywarah,33.35,279.71,55,0.23,94
somerset,40.57,279.03,86,3.48,90
scarborough,54.28,275.04,93,1,62
gazojak,41.19,290.4,35,8.3,0
saint george,37.1,278.78,93,2.42,100
alangudi,10.36,302.15,70,1.5,40
east london,-33.02,292.15,82,2.1,0
coihaique,-45.58,284.15,76,2.68,20
henties bay,-22.12,290.37,91,1.34,17
yankton,42.87,280.25,100,2.6,90
baykit,61.67,266.51,80,4.58,90
neiafu,-18.65,299.15,94,3.6,75
sao joao da barra,-21.64,296.81,91,2.23,0
cayenne,4.93,300.15,78,3.6,75
lieksa,63.32,271.71,92,2.89,13
semme,46.2,281.48,81,1.5,0
lazaro cardenas,17.96,295.9,84,1,0
bathsheba,13.22,299.15,74,7.2,20
hobyo,5.35,303.21,64,6.45,93
lagunas,-5.23,295.81,95,0.49,81
shelburne,44.08,274.97,47,2.1,90
comodoro rivadavia,-45.87,291.15,39,6.7,15
chuy,-33.7,292.71,97,4.62,42
vila franca do campo,37.72,286.15,87,10.8,75
provideniya,64.38,274.15,98,13,90
feicheng,35.26,288.21,14,6.61,0
margate,51.38,281.24,100,0.5,93
ponta do sol,32.67,289.47,77,8.2,75
puerto del rosario,28.5,290.71,68,9.3,20
terrace,54.52,276.97,52,2.1,90
ilulissat,69.22,266.15,41,5.1,100
port macquarie,-31.43,300.81,51,4.1,0
luderitz,-26.65,287.15,87,1.5,0
imbituba,-28.24,298.15,73,4.6,75
guamuchil,25.47,291.48,83,0.45,83
clyde river,70.47,256.15,91,12.9,100
haines junction,60.75,266.71,96,2.56,69
pacific grove,36.62,281.65,87,2.53,1
nadym,65.53,267.51,91,2.5,85
beringovskiy,63.05,273.21,97,11.52,100
fortuna,40.6,279.43,87,0.94,1
katsuura,35.13,292.8,63,12.3,20
morgan city,29.7,295.77,94,4.6,90
chanika,-5.42,297.71,87,0.38,98
kropotkin,45.44,275.93,70,4.54,97
dikson,73.51,253.41,91,7.3,100
syedove,47.08,278.4,65,5.83,2
nizhniy baskunchak,48.22,280.4,46,5.28,100
padilla,3.22,296.15,78,5.1,40
cortez,37.35,275.24,75,7.2,90
ukiah,39.15,279.53,93,0.97,90
shaunavon,49.65,258.11,97,1.82,90
les cayes,18.2,298.71,69,1.69,0
zavetnoye,47.12,278.81,60,7.31,99
sovetskiy,61.36,273.9,77,4.28,71
roald,62.58,274.16,93,2.1,96
dunedin,-45.87,291.17,72,7.42,72
khash,28.22,292.81,30,4.49,51
praya,14.92,293.15,68,6.2,20
mahebourg,-20.41,299.6,83,1.5,20
chapais,49.78,255.15,84,1,1
sao francisco de paula,-29.45,295.31,94,0.89,62
saint-philippe,-21.36,298.81,61,2.1,75
alekseyevka,50.63,277.71,53,4.76,0
tonantins,-2.87,296.31,99,1.13,100
ketchikan,55.34,278.11,69,3.6,90
avondale,33.44,283.09,93,4.6,1
kenai,60.55,271.76,73,2.1,1
hearst,49.68,265.11,97,1.63,98
poum,-20.23,299.9,75,11.14,0
quatre cocos,-20.21,299.81,83,1.5,20
saint-augustin,51.23,259.11,77,5.47,0
muriti,-1.98,292.15,93,2.6,75
victoria,22.29,295.5,78,3.6,40
san cristobal,7.77,298.15,69,2.1,40
jaisalmer,26.91,305.71,13,3.2,82
tecpan,14.76,286.39,72,5.1,8
tilichiki,60.47,266.11,84,7.38,100
faya,18.39,288.63,87,4.1,40
tuktoyaktuk,69.45,269.15,92,7.7,75
gonen,40.1,278.77,70,9.8,75
dekernes,31.09,287.11,54,6.2,0
kaitangata,-46.28,290.37,72,8.06,96
lindas,60.74,275.55,100,5.7,75
tarko-sale,64.92,270.93,70,6.18,100
halifax,44.65,270.66,68,2.1,75
port hardy,50.7,275.15,95,1,40
abha,18.22,288.63,87,4.1,40
corinto,37.94,281.57,70,1.5,40
nemuro,43.32,280.15,56,6.2,55
musoma,-1.5,293.71,88,2.95,100
riyadh,24.69,291.15,45,2.6,0
dinar,38.06,272.15,80,2.1,75
sorland,67.67,271.15,58,7.2,75
viet tri,21.3,293.15,82,4.1,90
olafsvik,64.89,270.01,68,5.07,33
saint-francois,46.42,279.12,86,1.2,9
itarema,-2.92,297.01,96,1.12,17
clemson,34.68,287.1,93,1.85,90
puerto escondido,15.85,295.11,74,1.21,37
rafaela,-31.25,289.57,72,0.45,0
menongue,-14.66,290.21,95,0.06,100
hambantota,6.12,304.15,70,6.2,40
birur,13.62,306.4,22,1.62,0
sur,22.57,301.9,27,1.36,0
aksu,41.12,289.71,15,1.16,71
turukhansk,65.82,268.11,94,5.25,100
tazovskiy,67.47,257.9,83,2.24,64
havelock,34.88,286.79,87,2.6,40
guerrero negro,27.98,287.31,63,6.94,32
saskylakh,71.92,259.71,93,4.63,100
kupang,-10.17,305.15,55,5.7,20
vardo,70.37,268.15,92,7.2,75
ambilobe,-13.2,302.51,75,0.07,3
port lincoln,-34.73,296.61,36,9.69,27
klaksvik,62.23,274.15,76,6.55,91
torbay,47.67,269.57,68,9.3,5
meteti,8.5,296.01,92,1.7,14
sterlitamak,53.62,272.81,79,7.04,0
sokoto,13.06,296.71,11,5.8,10
albertville,34.27,291.08,77,1.5,75
mumford,5.26,298.31,93,2.06,67
dubbo,-32.25,302.15,30,1.5,7
yangjiang,21.85,295.93,74,2.68,84
zhigansk,66.77,255.21,95,11.29,100
oeiras,-7.03,295.9,97,0.58,90
huarmey,-10.07,295.31,73,0.79,100
palu,-0.89,298.71,85,1.18,86
richards bay,-28.78,296.51,83,3.35,17
port shepstone,-30.74,295.21,73,3.18,12
isangel,-19.55,304.15,58,5.1,75
necochea,-38.55,285.45,98,0.45,85
shumerlya,55.5,276.31,82,7.53,100
bairiki,1.33,304.15,66,3.1,20
buraydah,26.33,287.15,67,2.6,0
labrea,-7.26,295.81,99,0.4,100
georgetown,5.41,305.04,55,1.5,20
tura,25.52,305.31,19,2.9,13
lompoc,34.64,281.9,81,3.6,75
belaya glina,46.07,275.93,70,4.8,100
kijang,35.24,292.15,45,8.7,20
nexo,55.06,279.15,100,4.1,100
santa quiteria,-4.33,294.81,98,0.41,64
humaita,-7.51,295.51,97,0.11,100
pauini,-7.71,295.51,99,0.8,100
namibe,-15.2,296.4,78,4.52,100
naze,28.37,292.66,94,6.2,75
ayagoz,47.97,271.9,76,3.23,98
mananara,-16.17,299.71,81,3.88,30
camacha,33.08,290.15,82,8.7,75
santa rosalia,27.32,283.71,75,3.16,2
mitu,1.2,296.21,91,0.46,100
korla,41.76,282.31,26,2.58,37
padang,-0.95,296.81,95,2.08,79
kavieng,-2.57,301.9,68,1.89,66
kodinsk,58.69,269.71,74,5.44,97
chapleau,47.84,266.11,95,1.5,53
tubinskiy,52.89,273.15,63,9,20
boca do acre,-8.75,295.81,98,0.71,100
vilani,56.55,277.01,80,6.07,100
yerbogachen,61.28,266.31,78,7.81,100
tekkali,18.62,309.01,30,2.73,0
katobu,-4.94,303.9,65,1.93,44
calbuco,-41.77,282.15,87,1.5,23
vigrestad,58.57,276.43,100,3.6,75
isabela,6.71,304.15,66,3.6,20
cidreira,-30.18,297.21,87,5.1,34
komsomolskiy,40.43,290.15,42,1,26
khoy,38.55,280.4,57,1.85,54
mount gambier,-37.83,295.15,68,7.2,40
bilma,18.69,295.11,11,4.75,0
ormara,25.21,297.31,56,5.42,38
goundi,9.36,299.71,19,0.6,88
amapa,1,295.71,99,0.72,100
vao,-22.67,298.11,71,9.4,12
dayong,25.02,293.15,88,2,100
jaque,7.52,294.21,93,1.91,34
havre-saint-pierre,50.23,261.15,60,3.1,1
russell,32.35,292.53,72,1.5,1
nara,34.69,293.66,52,9.8,20
ochamchira,42.71,278.9,86,1.79,100
mahibadhoo,3.78,302.01,78,5.01,89
vila velha,-20.33,297.89,94,1,40
rocha,-34.48,290.9,97,2.47,100
talara,-4.58,297.61,89,4.95,100
riberalta,-10.98,296.01,97,1.01,100
flinders,-34.58,304.33,24,3.1,3
magangue,9.24,298.11,70,1.17,39
husavik,66.04,268.15,79,0.5,90
akwatia,6.04,297.01,98,1.08,74
haicheng,40.85,281.21,36,9.89,50
brae,60.4,278.02,80,2.6,16
barentu,15.11,298.9,32,2.02,15
san andres,12.58,300.15,78,7.2,20
hohhot,40.81,281.15,19,3,0
santiago,-33.46,289.15,63,3.1,0
harper,4.38,297.51,97,1.53,53
leh,34.17,263.21,49,0.68,26
tucumcari,35.17,283.45,81,4.1,40
ranghulu,46.65,274.01,82,7.19,92
araouane,18.9,296.61,12,3.86,0
la ronge,55.1,255.15,64,0.42,75
eagle pass,28.71,299.15,61,6.7,40
bereda,43.27,281.94,100,1.5,90
oranjemund,-28.55,288.61,88,1.43,33
lata,40.16,283.59,87,0.5,24
verkhoyansk,67.54,257.4,73,2.26,89
grand gaube,-20.01,300,83,1.5,20
usinsk,65.99,270.61,95,2.16,100
the valley,18.22,298.95,74,5.7,20
yeppoon,-23.13,301.15,39,4.6,9
hami,42.8,288.61,23,3.01,24
hokitika,-42.72,288.81,77,2.93,100
san policarpo,12.18,301.11,69,3.68,8
lorengau,-2.02,302.11,65,1.42,26
hakodate,41.78,285.15,54,3.6,20
bajil,15.06,296.31,86,2.22,98
pisco,-13.7,294.99,88,5.1,90
walvis bay,-22.96,290.37,91,1.34,0
novikovo,51.15,277.61,64,5.16,0
matoury,4.85,300.15,78,3.6,75
kyabe,9.45,300.01,19,1.91,98
pangkalanbuun,-2.68,302.9,80,1.31,86
bouca,6.51,297.61,68,2.24,100
maiduguri,11.85,294.71,28,3.29,34
pudukkottai,10.38,302.15,70,1.5,40
santiago del estero,-27.8,291.11,76,1.26,0
lewistown,40.6,279.56,93,1.71,75
longyearbyen,78.22,253.15,64,3.6,75
kolondieba,11.09,299.21,60,3.59,100
sioux lookout,50.1,269.75,38,2.1,90
hovd,48.01,276.81,42,4.5,46
kapuskasing,49.42,268.15,62,2.1,75
inhambane,-23.86,294.15,88,3.48,20
rundu,-17.93,293.15,100,1.5,100
mlonggo,-6.53,305.15,62,2.6,40
yeniseysk,58.45,270.4,75,3.64,79
ancud,-41.87,280.15,93,1.5,38
de aar,-30.65,294.4,48,4.02,0
doha,25.29,297.8,78,3.1,58
okhotsk,59.38,266.81,78,2.73,0
uray,60.12,275.11,85,4.66,74
omboue,-1.57,297.9,94,0.66,100
puerto carreno,6.19,299.81,59,3.6,62
maun,-19.98,295.15,88,2.1,29
atar,20.52,286.81,44,5,10
camargo,27.67,288.71,53,2.16,17
trzebiatow,54.06,281.39,93,3.1,75
shahrud,36.42,284.61,76,2.06,73
pundaguitan,6.37,300.81,66,1.93,50
carballo,43.21,282.99,100,1.5,90
juba,4.85,301.21,55,3.57,100
qaqortoq,60.72,275.15,34,7.2,100
solnechnyy,50.72,272.21,80,2.55,100
panalingaan,8.78,301.4,73,5.71,25
mayumba,-3.43,300.71,83,4.58,100
fernley,39.61,271.91,86,2.6,75
nador,35.17,287.72,93,7.2,90
rusape,-18.53,292.4,74,0.7,0
delijan,33.99,284.81,46,6.01,0
abu dhabi,24.47,299.06,47,3.6,40
andros town,24.7,296.48,80,2.24,13
dingle,11,304.81,53,5.11,61
moultrie,31.18,291.84,93,0.96,1
banda aceh,5.56,305.31,47,3.83,41
port blair,11.67,301.11,65,5.56,38
port antonio,18.18,299.14,69,2.1,20
saint helens,53.45,277.04,87,2.1,100
san rafael,-34.62,289.31,57,1.92,0
shiyan,32.65,295.01,18,3.9,0
la roda,39.22,278.31,93,2.6,22
palmer,42.16,277.38,48,4.1,1
zhangye,38.93,286.9,13,4.86,24
hamilton,39.18,287.49,93,2.1,90
fuerte olimpo,-21.04,296.61,92,1.96,39
ranong,9.97,308.15,36,2.6,20
kirensk,57.79,270.4,76,6.13,100
tevaitoa,-16.78,301.9,66,1.39,100
mana,5.66,295.4,96,0.94,70
gobabis,-22.45,291.15,93,1,11
kualakapuas,-3.01,303.15,74,2.1,40
kangaatsiaq,68.31,262.81,71,10.34,100
trincomalee,8.57,306.4,43,3.64,96
sobolevo,54.43,280.51,81,5.72,100
cururupu,-1.83,296.51,98,0.67,95
salta,-24.79,291.15,93,1.5,90
diamantino,-14.41,295.81,93,1.24,2
bam,29.11,299.81,14,0.94,84
kefamenanu,-9.45,300.9,66,4.7,0
amahai,-3.33,302.4,65,2.75,69
florida,28.75,293.58,73,2.1,1
khasan,42.43,276.51,97,2.69,100
kruisfontein,-34,291.81,78,0.84,0
agua dulce,18.13,296.01,92,2.29,0
katakwi,1.89,296.71,66,1.95,90
storforshei,66.4,268.11,96,1.92,100
sigli,5.38,300.51,75,1.93,80
warwick,41.7,277.76,60,3.6,90
te anau,-45.42,286.11,80,5.21,96
cabedelo,-6.98,299.15,88,1,75
ossora,59.24,265.9,70,2.45,100
bani walid,31.76,284.11,84,3.8,18
heidelberg,-26.5,290,93,1.8,0
farafangana,-22.82,297.61,67,4.56,95
riacho de santana,-13.61,296.15,94,1.5,6
sattenapalle,16.4,302.15,74,1.5,40
paita,-5.09,299.4,64,1.97,79
sakakah,29.97,279.15,49,2.6,0
vigo,42.23,284.44,82,2.6,0
yenagoa,4.92,298.9,94,1.13,64
kungurtug,50.6,269.81,64,4.9,62
moerai,-22.43,300.71,80,6.47,38
cubuk,40.24,271.74,92,0.5,90
biratnagar,26.48,303.61,20,1.76,0
obo,5.4,298.81,56,1.97,93
rincon,32.3,292.04,93,2.1,90
rawson,-43.3,292.01,51,9.67,0
fairbanks,64.84,271.7,86,0.96,40
koumac,-20.57,298.4,67,3.88,13
koroni,36.8,282.13,60,4.01,0
salalah,17.02,298.15,73,4.02,75
bulgan,48.81,273.9,65,4.44,53
mangrol,21.12,298.61,71,5.44,15
soc trang,9.6,305.15,52,3.6,40
nedjo,9.5,297.51,18,1.88,100
norfolk,42.17,277.93,75,2.1,1
ivanovka,42.89,287.15,58,2,49
georgiyevka,43.04,287.15,58,2,38
hualmay,-11.1,295.11,76,1.32,99
kyra,49.58,274.31,20,1,100
kulpahar,25.32,306.01,15,1.27,72
barcelos,41.54,285.26,82,2.6,0
boghesti,46.17,271.15,86,1,0
vila do maio,15.13,293.15,68,6.2,20
ogbomosho,8.13,298.15,78,2.28,20
misratah,32.38,288.21,76,8.92,49
formosa do rio preto,-11.05,293.81,97,0.86,37
tessalit,20.2,297.01,23,4.88,45
bucak,37.46,277.38,80,2.1,75
marsa matruh,31.35,286.15,58,3.1,13
bubaque,11.28,298.4,68,6.05,11
pointe-noire,-4.78,296.15,100,2.6,75
indiaroba,-11.52,297.4,94,0.74,45
khanu woralaksaburi,16.06,310.93,41,2.76,8
porto walter,-8.27,295.21,90,0.34,92
banjar,-8.19,304.15,79,4.6,20
denpasar,-8.65,304.15,79,4.6,20
shimoda,34.67,292.47,56,6.2,75
broken hill,-31.95,306.15,17,5.7,0
chukhloma,58.75,278.21,76,7.68,92
deshnok,27.8,305.01,14,3.95,0
maceio,-9.67,297.15,88,1.5,40
mabaruma,8.2,294.9,99,0.67,93
basco,20.45,298.61,78,5.31,13
novyy urengoy,66.08,265.51,93,3.12,100
jumla,29.27,285.01,27,2.63,13
berdigestyakh,62.1,266.51,92,3.51,98
kaeo,-35.1,292.05,72,0.89,50
honningsvag,70.98,269.81,80,6.96,100
bogorodskoye,56.55,279.11,75,6.82,100
yueyang,29.33,296.31,46,2.72,68
nueva santa rosa,14.38,291.15,72,5.1,2
pavlodar,52.3,271.15,92,5,75
asau,46.43,273.43,86,1,0
kulhudhuffushi,6.62,302.51,75,6.72,50
san jeronimo,-11.95,279.01,88,2.01,100
praia da vitoria,38.73,285.15,66,8.8,20
anadyr,64.75,273.15,92,10,90
port hedland,-20.32,310.15,42,4.6,19
robertsport,6.75,300.51,83,4.51,57
varberg,57.11,276.29,93,4.1,33
maniitsoq,65.42,270.71,66,13.07,100
